pincode,district,latitude,longitude
142043,MOGA,31.05585,75.13277
142044,FIROZPUR,31.09945,74.93417
142045,MOGA,30.5601446,75.1924695
142046,MOGA,30.5598021,75.226024
142047,FIROZPUR,30.94655,74.9391
142048,MOGA,30.8164673,75.1717023
142049,MOGA,30.78605,75.205
142050,FIROZPUR,30.85535,74.94099
142052,FIROZPUR,30.7456,75.30656
142053,MOGA,30.79727,75.32054
142054,MOGA,30.845425,75.329893
142055,MOGA,30.526565,75.291646
142056,MOGA,30.6441411,75.1530698
142057,MOGA,30.598998,75.150027
142058,MOGA,30.933701,75.348499
142060,FIROZPUR,30.918104,74.616138
143001,AMRITSAR,31.64,74.89
143002,AMRITSAR,31.63,74.84
143004,AMRITSAR,31.638561,74.882557
143005,AMRITSAR,31.63,74.83
143006,AMRITSAR,31.614,74.866
143008,AMRITSAR,31.68,74.87
143009,AMRITSAR,31.55,74.8
143022,AMRITSAR,31.58,74.91
143101,AMRITSAR,31.72,74.75
143102,AMRITSAR,31.81,74.71
143103,AMRITSAR,31.88,74.88
143105,AMRITSAR,31.67,74.8
143107,AMRITSAR,31.56,74.7
143108,AMRITSAR,31.67,74.57
143109,AMRITSAR,31.77,74.66
143111,AMRITSAR,31.61,75.2
143112,AMRITSAR,31.53,75.19
143113,AMRITSAR,31.64,75.05
143114,AMRITSAR,31.68,75.2
143115,AMRITSAR,31.51,75.07
143116,AMRITSAR,31.64,75.17
143117,TARN TARAN,31.44645,74.94355
143118,TARN TARAN,31.4,75.12
143119,AMRITSAR,31.73,75.14
143149,AMRITSAR,31.59,75.06
143201,AMRITSAR,31.51656,75.288964
143202,AMRITSAR,31.61,75.22
143203,AMRITSAR,31.5320582,75.36
143204,AMRITSAR,31.54,75.32
143205,AMRITSAR,31.58,75.3
143301,TARN TARAN,31.49,74.84
143302,TARN TARAN,31.43,74.85
143303,TARN TARAN,31.34,74.7
143304,TARN TARAN,31.3,74.68
143305,TARN TARAN,31.3,74.6
143401,TARN TARAN,31.457758,74.918607
143402,TARN TARAN,31.44,74.89
143406,TARN TARAN,31.34,74.79
143407,TARN TARAN,31.37,75.09
143408,TARN TARAN,31.26,75
143409,TARN TARAN,32.13839,75.32
143410,TARN TARAN,31.41,74.88
143411,TARN TARAN,31.3783041,74.9997688
143412,TARN TARAN,31.21,74.93
143413,AMRITSAR,31.46,73.13
143414,TARN TARAN,31.48,74.67
143415,TARN TARAN,31.33,74.87
143416,TARN TARAN,31.16,74.78
143419,TARN TARAN,31.3795513,74.7775828
143422,TARN TARAN,31.34,75.13
143501,AMRITSAR,31.67,75.01
143502,AMRITSAR,31.73,75.01
143504,AMRITSAR,31.74,75.1
143505,GURDASPUR,31.8075,75.19558
143506,GURDASPUR,31.8186,75.2028
143507,GURDASPUR,31.84,75.14
143511,GURDASPUR,31.94,75.13
143512,GURDASPUR,32.02,75.19
143513,GURDASPUR,31.9099,75.0159
143514,GURDASPUR,31.71,75.34
143515,GURDASPUR,31.7212,75.4359
143516,GURDASPUR,31.78,75.4
143517,GURDASPUR,31.87,75.54
143518,GURDASPUR,31.86,75.26
143519,GURDASPUR,3194,75.32
143520,GURDASPUR,32.04,75.27
143521,GURDASPUR,32.043274,75.39888
143525,NAN,32.2,75.42
143526,GURDASPUR,32.033858,75.407121
143527,GURDASPUR,31.81,75.49
143528,GURDASPUR,31.92,75.5
143529,GURDASPUR,31.94,75.41
143530,GURDASPUR,32.0031312,75.4536789
143531,GURDASPUR,32.11,75.5
143532,GURDASPUR,32.14,75.41
143533,GURDASPUR,32.12,75.57
143534,NAN,32.24,75.44
143601,AMRITSAR,31.78,75.01
143602,GURDASPUR,31.92,74.93
143603,AMRITSAR,31.93,74.83
143604,GURDASPUR,31.59935,75.19825
143605,GURDASPUR,31.93,75.05
143606,AMRITSAR,31.84,74.94
144001,JALANDHAR,31.32416393,75.58098624
144002,JALANDHAR,,
144003,JALANDHAR,31.29132848,75.55672319
144005,JALANDHAR,31.300299,75.630428
144006,JALANDHAR,31.30868196,75.60466892
144007,JALANDHAR,31.32594121,75.62710435
144008,JALANDHAR,31.3203,75.5908
144009,JALANDHAR,31.33374377,75.62297607
144010,JALANDHAR,31.30374888,75.64469516
144020,JALANDHAR,31.2415,75.6266
144021,JALANDHAR,31.3542861,75.5464115
144022,JALANDHAR,31.29792934,75.59466035
144023,JALANDHAR,31.31435616,75.64032228
144024,JALANDHAR,31.261,75.663
144025,JALANDHAR,31.3853,75.6385
144026,JALANDHAR,31.3524,75.6171
144027,JALANDHAR,31.37513636,75.54213896
144028,JALANDHAR,31.3524,75.6171
144029,JALANDHAR,31.0855,75.9167
144030,JALANDHAR,31.4087,75.8055
144031,JALANDHAR,31.7234516,75.42139536
144032,JALANDHAR,31.2069036,75.6723245
144033,JALANDHAR,31.52747,75.8066
144034,JALANDHAR,31.215721,75.777559
144035,JALANDHAR,31.52747,75.8066
144036,JALANDHAR,31.52747,75.8066
144037,JALANDHAR,31.099467,75.683921
144039,JALANDHAR,31.125808,75.473292
144040,JALANDHAR,31.1343615,75.4756519
144041,JALANDHAR,31.125807,75.473293
144042,JALANDHAR,31.52747,75.8066
144043,JALANDHAR,31.217805,75.769395
144044,JALANDHAR,31.128403,75.474732
144101,JALANDHAR,31.3404,75.6717
144102,JALANDHAR,31.3875,75.2455
144103,JALANDHAR,31.422,75.7564
144104,JALANDHAR,31.40638979,75.75481349
